Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
856483,Bucklands Station (historical),Populated Place,Lyon County,Nevada,Churchill Butte,1278,39.29464,-119.251547,None,3/1/1990,null,null,null,null,32019,32
847914,Buckley Camp (historical),Populated Place,Mineral County,Nevada,Ryan Canyon,1650,38.7340857,-118.5348541,None,1/1/1991,null,null,null,null,32021,32
856543,Buckskin (historical),Populated Place,Douglas County,Nevada,Artesia Lake,1509,38.9921371,-119.352381,None,1/1/1991,null,null,null,null,32005,32
857680,Bueasta (historical),Populated Place,Elko County,Nevada,Big Table,1521,41.9310146,-115.6759157,None,5/1/1992,null,null,null,null,32007,32
848510,Buell (historical),Populated Place,Elko County,Nevada,Tecoma,1778,41.25548,-114.0464003,None,12/12/1980,null,null,null,null,32007,32
854811,Buffalo Meadows (historical),Populated Place,Washoe County,Nevada,Hog Spring,1189,40.6076795,-119.7410328,None,12/1/1990,null,null,null,null,32031,32
855980,Bull Fork,Populated Place,Nye County,Nevada,Bull Fork,1849,39.0735429,-115.7672664,None,12/12/1980,07975,U6,null,null,32023,32
855981,Bullfrog (historical),Populated Place,Nye County,Nevada,Beatty,1085,36.8902229,-116.8336717,None,12/12/1980,08000,U6,null,null,32023,32
839181,Bullion,Populated Place,Elko County,Nevada,Bullion,2033,40.5238102,-115.9964594,None,12/12/1980,08025,U6,null,null,32007,32
846498,Bullion (historical),Populated Place,Lander County,Nevada,Tenabo,1603,40.3374177,-116.6928663,None,10/1/1990,null,null,null,null,32015,32
847256,Bullionville (historical),Populated Place,Lincoln County,Nevada,Panaca,1451,37.8032976,-114.4069343,None,12/12/1980,null,null,null,null,32017,32
845390,Bunkerville,Populated Place,Clark County,Nevada,Flat Top Mesa,467,36.7730306,-114.1280249,None,12/12/1980,08100,U5,null,null,32003,32
846987,Burnt Cabin (historical),Populated Place,Lander County,Nevada,Burnt Cabin Summit,1956,39.0965911,-117.7656645,None,10/1/1990,null,null,null,null,32015,32
855982,Cactus Springs,Populated Place,Clark County,Nevada,Indian Springs,985,36.5777372,-115.7275219,None,12/12/1980,08300,U6,null,null,32003,32
858257,Cal-Nev-Ari,Populated Place,Clark County,Nevada,Tenmile Well,786,35.3055496,-114.8835866,None,8/30/1991,08600,U5,null,null,32003,32
847266,Caliente,Populated Place,Lincoln County,Nevada,Caliente,1343,37.6149648,-114.5119378,None,12/12/1980,08500,P1,null,null,32017,32
848332,Calmville (historical),Populated Place,Esmeralda County,Nevada,Coaldale,1385,38.009653,-117.9978847,None,2/1/1991,null,null,null,null,32009,32
855983,Calumet,Populated Place,White Pine County,Nevada,Ruth,1950,39.2629948,-114.876685,None,12/12/1980,08630,U6,null,null,32033,32
848125,Cambridge (historical),Populated Place,Lyon County,Nevada,Pine Grove Spring,1666,38.6882498,-119.0140363,None,1/1/1991,null,null,null,null,32019,32
846649,Camp Booth (historical),Populated Place,Clark County,Nevada,Nelson,967,35.6563765,-114.8166449,None,10/1/1990,null,null,null,null,32003,32
863748,Camp Desert Rock,Populated Place,Nye County,Nevada,Camp Desert Rock,1012,36.6271773,-116.0200311,None,12/12/1980,08660,U6,null,null,32023,32
848516,Camp Douglas,Populated Place,Mineral County,Nevada,Camp Douglas,2017,38.3385366,-118.1998432,None,12/12/1980,null,null,null,null,32021,32
846648,Camp Duncan (historical),Populated Place,Clark County,Nevada,Nelson,769,35.7041533,-114.8049786,None,10/1/1990,null,null,null,null,32003,32
854788,Camp Dupont (historical),Populated Place,Clark County,Nevada,Ireteba Peaks,532,35.565268,-114.763309,None,6/1/1990,null,null,null,null,32003,32
853648,Camp Harding (historical),Populated Place,Esmeralda County,Nevada,Paymaster Canyon,2069,37.9529874,-117.487035,None,5/1/1991,null,null,null,null,32009,32
846660,Camp Sunrise (historical),Populated Place,Clark County,Nevada,Fourth of July Mountain,981,35.466658,-114.867477,None,10/1/1990,null,null,null,null,32003,32
857457,Candelaria (historical),Populated Place,Mineral County,Nevada,Candelaria,1742,38.1588175,-118.0892805,None,12/12/1980,null,null,null,null,32021,32
855984,Candelaria Junction,Populated Place,Mineral County,Nevada,Belleville,1661,38.1757612,-118.182618,None,12/12/1980,null,null,null,null,32021,32
846984,Canon City,Populated Place,Lander County,Nevada,West of Austin,1797,39.4565925,-117.1292578,None,10/1/1990,null,null,null,null,32015,32
848184,Canyon City (historical),Populated Place,Lander County,Nevada,Bunker Hill,2035,39.3463163,-117.1370346,None,1/1/1991,null,null,null,null,32015,32
847272,Carlin,Populated Place,Elko County,Nevada,Carlin East,1495,40.7138067,-116.1039663,None,12/12/1980,08900,P1,null,null,32007,32
855787,Carman Heights,Populated Place,Douglas County,Nevada,Double Spring,2717,38.837409,-119.5090553,None,7/1/1991,null,null,null,null,32005,32
845397,Carp,Populated Place,Lincoln County,Nevada,Carp,786,37.1119149,-114.4927666,None,12/12/1980,09300,U6,null,null,32017,32
855985,Carrara (historical),Populated Place,Nye County,Nevada,Carrara Canyon,878,36.8007817,-116.7122792,None,12/12/1980,09400,U6,null,null,32023,32
854849,Carroll (historical),Populated Place,Lander County,Nevada,Carroll Summit,2230,39.2621451,-117.7187209,None,10/1/1990,null,null,null,null,32015,32
848171,Carrs Camp (historical),Populated Place,Nye County,Nevada,Tolicha Peak SW,1414,37.2629889,-116.9261801,None,1/1/1991,null,null,null,null,32023,32
863976,Carson City,Populated Place,Carson City,Nevada,Carson City,1427,39.1637984,-119.7674034,1/1/1943,12/12/1980,09700,P1,null,null,32510,32
859156,Carson Hot Springs,Populated Place,Carson City,Nevada,Carson City,1436,39.1937989,-119.7526814,None,12/12/1980,10050,U6,null,null,32510,32
855712,Carson Rapids City,Populated Place,Lyon County,Nevada,Flowery Peak,1358,39.304358,-119.5562856,None,7/1/1991,null,null,null,null,32019,32
845398,Carver Park,Populated Place,Clark County,Nevada,Henderson,550,36.0463654,-114.9774925,None,12/12/1980,10300,U4,null,null,32003,32
